type	name	sc	lefr	zcr
d	d	c	c	c
class
spostamento	strada_02_000_000	94.125089	477.000000	0.297872
spostamento	strada_02_000_001	77.365847	509.000000	0.270922
spostamento	strada_02_000_002	83.727230	474.000000	0.269504
spostamento	strada_02_001_000	69.381132	478.000000	0.215603
spostamento	strada_02_001_001	93.407664	473.000000	0.300709
spostamento	strada_02_001_002	83.490100	478.000000	0.268085
spostamento	strada_02_002_000	50.082172	487.000000	0.190071
spostamento	strada_02_002_001	70.423054	503.000000	0.238298
spostamento	strada_02_002_002	93.894912	496.000000	0.283688
spostamento	strada_02_003_000	62.333492	530.000000	0.225532
spostamento	strada_02_003_001	79.115338	516.000000	0.286525
spostamento	strada_02_003_002	66.570899	520.000000	0.215603
spostamento	strada_02_004_000	57.533959	495.000000	0.177305
spostamento	strada_02_004_001	104.509780	507.000000	0.258156
spostamento	strada_02_004_002	89.401910	500.000000	0.320567
spostamento	strada_02_005_000	43.756379	465.000000	0.140426
spostamento	strada_02_005_001	68.548962	485.000000	0.235461
spostamento	strada_02_005_002	67.480414	499.000000	0.234043
spostamento	strada_02_006_000	75.783027	468.000000	0.238298
spostamento	strada_02_006_001	65.715202	470.000000	0.207092
spostamento	strada_02_006_002	66.641046	497.000000	0.239716
spostamento	strada_02_007_000	82.540324	488.000000	0.259574
spostamento	strada_02_007_001	68.218997	478.000000	0.238298
spostamento	strada_02_007_002	53.027163	461.000000	0.178723
spostamento	strada_02_008_000	32.830807	502.000000	0.141844
spostamento	strada_02_008_001	40.765595	467.000000	0.192908
spostamento	strada_02_008_002	41.313964	476.000000	0.143262
spostamento	strada_02_009_000	45.415845	454.000000	0.171631
spostamento	strada_02_009_001	41.882441	480.000000	0.182979
spostamento	strada_02_009_002	52.883015	477.000000	0.202837
spostamento	strada_02_010_000	65.716602	487.000000	0.228369
spostamento	strada_02_010_001	77.093548	461.000000	0.253901
spostamento	strada_02_010_002	77.864141	462.000000	0.255319
spostamento	strada_02_011_000	60.291913	477.000000	0.201418
spostamento	strada_02_011_001	52.602587	500.000000	0.177305
spostamento	strada_02_011_002	50.882549	491.000000	0.194326
spostamento	strada_02_012_000	47.448625	448.000000	0.164539
spostamento	strada_02_012_001	53.306021	483.000000	0.170213
spostamento	strada_02_012_002	64.894022	458.000000	0.214184
spostamento	strada_02_013_000	66.824340	488.000000	0.235461
spostamento	strada_02_013_001	50.682263	485.000000	0.161702
spostamento	strada_02_013_002	50.285607	484.000000	0.184397
spostamento	strada_02_014_000	58.294456	486.000000	0.187234
spostamento	strada_02_014_001	43.395405	493.000000	0.161702
spostamento	strada_02_014_002	57.124952	498.000000	0.211348
spostamento	strada_02_015_000	94.770918	478.000000	0.293617
spostamento	strada_02_015_001	81.532927	467.000000	0.269504
spostamento	strada_02_015_002	71.895425	494.000000	0.235461
spostamento	strada_02_016_000	45.782095	486.000000	0.202837
spostamento	strada_02_016_001	63.010758	481.000000	0.225532
spostamento	strada_02_016_002	58.652750	464.000000	0.236879
spostamento	strada_02_017_000	45.768341	495.000000	0.163121
spostamento	strada_02_017_001	71.780684	470.000000	0.231206
spostamento	strada_02_017_002	88.349080	454.000000	0.276596
spostamento	strada_02_018_000	56.664329	472.000000	0.200000
spostamento	strada_02_018_001	54.089043	478.000000	0.180142
spostamento	strada_02_018_002	50.757977	497.000000	0.182979
spostamento	strada_02_019_000	55.453395	475.000000	0.201418
spostamento	strada_02_019_001	63.779630	467.000000	0.192908
spostamento	strada_02_019_002	66.622250	473.000000	0.215603
spostamento	strada_02_020_000	110.802937	469.000000	0.336170
spostamento	strada_02_020_001	100.647753	471.000000	0.309220
spostamento	strada_02_020_002	87.252332	486.000000	0.283688
spostamento	strada_02_021_000	69.700851	470.000000	0.239716
spostamento	strada_02_021_001	87.424805	465.000000	0.285106
spostamento	strada_02_021_002	125.277168	471.000000	0.377305
spostamento	strada_02_022_000	69.460165	504.000000	0.241135
spostamento	strada_02_022_001	80.795630	531.000000	0.280851
spostamento	strada_02_022_002	54.285243	519.000000	0.197163
spostamento	strada_02_023_000	62.231053	499.000000	0.204255
spostamento	strada_02_023_001	60.543500	497.000000	0.185816
spostamento	strada_02_023_002	46.788218	521.000000	0.167376
spostamento	strada_02_024_000	23.967955	538.000000	0.150355
spostamento	strada_02_024_001	22.604270	533.000000	0.126241
spostamento	strada_02_024_002	52.897165	504.000000	0.207092
spostamento	strada_02_025_000	19.399220	504.000000	0.116312
spostamento	strada_02_025_001	27.947126	501.000000	0.146099
spostamento	strada_02_025_002	71.167084	518.000000	0.258156
spostamento	strada_02_026_000	53.566821	480.000000	0.201418
spostamento	strada_02_026_001	52.438201	472.000000	0.208511
spostamento	strada_02_026_002	138.132824	463.000000	0.367376
spostamento	strada_02_027_000	108.270932	465.000000	0.337589
spostamento	strada_02_027_001	75.378192	472.000000	0.246809
spostamento	strada_02_027_002	68.604263	477.000000	0.262411
spostamento	strada_02_028_000	51.628844	464.000000	0.190071
spostamento	strada_02_028_001	54.359687	473.000000	0.205674
spostamento	strada_02_028_002	52.670862	462.000000	0.188652
spostamento	strada_02_029_000	53.020499	449.000000	0.173050
spostamento	strada_02_029_001	55.022519	471.000000	0.209929
spostamento	strada_02_029_002	60.781928	454.000000	0.208511
spostamento	strada_02_030_000	58.080181	472.000000	0.188652
spostamento	strada_02_030_001	52.994591	463.000000	0.188652
spostamento	strada_02_030_002	51.421156	462.000000	0.188652
spostamento	strada_02_031_000	47.381274	483.000000	0.160284
spostamento	strada_02_031_001	47.798442	520.000000	0.178723
spostamento	strada_02_031_002	31.601427	567.000000	0.146099
spostamento	strada_02_032_000	36.187199	590.000000	0.185816
spostamento	strada_02_032_001	34.817449	574.000000	0.184397
spostamento	strada_02_032_002	31.947453	587.000000	0.158865
spostamento	strada_02_033_000	58.365057	528.000000	0.204255
spostamento	strada_02_033_001	47.379436	493.000000	0.180142
spostamento	strada_02_033_002	54.016563	484.000000	0.178723
spostamento	strada_02_034_000	59.485041	524.000000	0.217021
spostamento	strada_02_034_001	52.717919	512.000000	0.187234
spostamento	strada_02_034_002	66.404664	521.000000	0.238298
spostamento	strada_02_035_000	55.783347	492.000000	0.217021
spostamento	strada_02_035_001	66.042982	494.000000	0.219858
spostamento	strada_02_035_002	56.073163	489.000000	0.185816
spostamento	strada_02_036_000	54.167218	495.000000	0.182979
spostamento	strada_02_036_001	56.420916	479.000000	0.187234
spostamento	strada_02_036_002	48.153871	489.000000	0.164539
spostamento	strada_02_037_000	56.686266	505.000000	0.192908
spostamento	strada_02_037_001	56.468414	503.000000	0.190071
spostamento	strada_02_037_002	54.482916	503.000000	0.215603
spostamento	strada_02_038_000	63.860933	489.000000	0.222695
spostamento	strada_02_038_001	60.314204	487.000000	0.200000
spostamento	strada_02_038_002	72.259025	482.000000	0.245390
spostamento	strada_02_039_000	67.070571	478.000000	0.222695
spostamento	strada_02_039_001	73.606528	465.000000	0.226950
spostamento	strada_02_039_002	61.024174	491.000000	0.215603
spostamento	strada_02_040_000	55.202987	475.000000	0.180142
spostamento	strada_02_040_001	48.465574	479.000000	0.190071
spostamento	strada_02_040_002	56.423571	473.000000	0.185816
spostamento	strada_02_041_000	55.162612	498.000000	0.192908
spostamento	strada_02_041_001	44.988864	540.000000	0.167376
spostamento	strada_02_041_002	63.652916	507.000000	0.241135
spostamento	strada_02_042_000	51.222955	481.000000	0.167376
spostamento	strada_02_042_001	45.120261	483.000000	0.178723
spostamento	strada_02_042_002	51.031433	482.000000	0.207092
spostamento	strada_02_043_000	54.666639	490.000000	0.182979
spostamento	strada_02_043_001	45.818961	479.000000	0.167376
spostamento	strada_02_043_002	72.777377	503.000000	0.252482
spostamento	strada_02_044_000	64.972136	467.000000	0.219858
spostamento	strada_02_044_001	65.475282	503.000000	0.232624
spostamento	strada_02_044_002	66.108941	495.000000	0.222695
spostamento	strada_02_045_000	48.702758	498.000000	0.168794
spostamento	strada_02_045_001	52.629671	517.000000	0.222695
spostamento	strada_02_045_002	40.781275	493.000000	0.153191
spostamento	strada_02_046_000	43.774032	488.000000	0.182979
spostamento	strada_02_046_001	37.643752	535.000000	0.156028
spostamento	strada_02_046_002	47.643146	548.000000	0.201418
spostamento	strada_02_047_000	59.489347	483.000000	0.198582
spostamento	strada_02_047_001	43.626400	473.000000	0.158865
spostamento	strada_02_047_002	53.316318	515.000000	0.207092
spostamento	strada_02_048_000	51.814912	529.000000	0.194326
spostamento	strada_02_048_001	60.926932	496.000000	0.195745
spostamento	strada_02_048_002	69.089956	493.000000	0.215603
spostamento	strada_02_049_000	50.912370	496.000000	0.194326
spostamento	strada_02_049_001	53.534667	503.000000	0.197163
spostamento	strada_02_049_002	49.281705	490.000000	0.170213
spostamento	strada_02_050_000	68.298812	478.000000	0.224113
spostamento	strada_02_050_001	77.130948	493.000000	0.241135
spostamento	strada_02_050_002	85.819609	496.000000	0.278014
spostamento	strada_02_051_000	56.498954	469.000000	0.190071
spostamento	strada_02_051_001	62.540093	482.000000	0.212766
spostamento	strada_02_051_002	60.157448	501.000000	0.190071
spostamento	strada_02_052_000	47.912659	528.000000	0.205674
spostamento	strada_02_052_001	53.997005	506.000000	0.208511
spostamento	strada_02_052_002	60.828703	491.000000	0.198582
spostamento	strada_02_053_000	45.027440	492.000000	0.163121
spostamento	strada_02_053_001	51.199188	495.000000	0.198582
spostamento	strada_02_053_002	55.814727	484.000000	0.192908
spostamento	strada_02_054_000	52.599507	479.000000	0.174468
spostamento	strada_02_054_001	52.514290	497.000000	0.202837
spostamento	strada_02_054_002	48.630460	499.000000	0.173050
spostamento	strada_02_055_000	49.753942	504.000000	0.171631
spostamento	strada_02_055_001	50.534548	489.000000	0.182979
spostamento	strada_02_055_002	61.177292	485.000000	0.194326
spostamento	strada_02_056_000	56.296256	481.000000	0.191489
